client,tau=5,tau=10,tau=15,tau=20,tau=25,tau=30,agg_pnl,delta_star
A,1.268232,1.540175,1.737274,2.061331,2.292701,2.485176,1.897481,0.0
B,1.211394,1.342476,1.542005,1.725621,1.909079,2.058551,1.631521,0.0
C,1.07672,1.164963,1.189768,1.162116,1.2285,1.216464,1.173089,0.0
D,0.867836,0.681538,0.492889,0.177152,-0.076059,-0.346904,0.299409,0.00961395
E,0.652815,0.302584,-0.108069,-0.572445,-1.068739,-1.614354,-0.401368,0.01898267
F,0.445223,-0.176428,-0.916777,-1.750955,-2.61386,-3.629397,-1.440365,0.03286625
