client,tau=5,tau=10,tau=15,tau=20,tau=25,tau=30
A,39.7204,41.3958,42.1859,41.9509,41.8959,41.7133
B,40.7505,42.3591,43.1579,43.3049,43.4241,43.2965
C,41.3748,43.3486,44.2474,44.8386,45.3851,45.9225
D,43.3193,46.5217,48.1667,49.7094,50.6196,51.7529
E,44.9561,48.4875,50.9196,52.1314,53.8495,54.8449
F,47.0073,51.6674,54.2606,56.9399,59.49,61.8822
