split,accuracy,precision,recall,log_loss
train,0.56714325633383,0.5701773061007565,0.2438194732513038,0.6798809741851994
validation,0.5558837939879527,0.5287374741830667,0.23307414919453662,0.6850277391505061
test,0.558487586780973,0.5194355760975946,0.23327050785000977,0.6842893412858976
